title,rating,ranking
Shijou Saikyou no Deshi Kenichi,8.08,458
Stand By Me Doraemon,8.08,459
Shokugeki no Souma: San no Sara,8.07,460
Summer Wars,8.07,461
xxxHOLiC Shunmuki,8.07,462
Doupo Cangqiong 4th Season,8.07,463
Fate/stay night: Unlimited Blade Works Prologue,8.07,464
Gintama: Dai Hanseikai,8.07,465
Glass no Kamen (2005),8.07,466
Initial D Fifth Stage,8.07,467
Kill la Kill,8.07,468
Kuroko no Basket Movie 4: Last Game,8.07,469
Boku no Hero Academia the Movie 2: Heroes:Rising,8.06,470
City Hunter 2,8.06,471
Detective Conan Movie 10: Requiem of the Detectives,8.06,472
Eve no Jikan,8.06,473
Girls & Panzer: Saishuushou Part 2,8.06,474
Hololive Alternative,8.06,475
Kamisama Hajimemashita,8.06,476
Kara no Kyoukai 3: Tsuukaku Zanryuu,8.06,477
Kyou kara Ore wa!!,8.06,478
Mairimashita! Iruma-kun 2nd Season,8.06,479
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,8.06,480
Zombieland Saga: Revenge,8.06,481
Paprika,8.05,482
Saint Seiya: Meiou Hades Juuni Kyuu-hen,8.05,483
Saiunkoku Monogatari 2nd Season,8.05,484
Serial Experiments Lain,8.05,485
Tsumiki no Ie,8.05,486
BanG Dream! 3rd Season,8.05,487
Black Clover,8.05,488
Evangelion: 1.0 You Are (Not) Alone,8.05,489
Full Metal Panic? Fumoffu,8.05,490
Juuni Kokuki,8.05,491
Kami nomi zo Shiru Sekai: Megami-hen,8.05,492
Kodomo no Omocha (TV),8.05,493
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,8.05,494
Akatsuki no Yona,8.04,495
Baby Steps 2nd Season,8.04,496
Black Lagoon,8.04,497
Black Lagoon: Roberta's Blood Trail,8.04,498
D.Gray-man,8.04,499
Ginga Nagareboshi Gin,8.04,500
Vampire Hunter D (2000),7.89,701
